nodes,heights,parents,indices for nodemap
root,1,FALSE,10000
LL,0.925,root,0
KK,0.9,LL,1
JJ,0.49,KK,2
II,0.465,JJ,3
DD,0.4125,II,4
AA,0.3875,DD,5
Z,0.375,AA,6
R,0.24,Z,7
P,0.215,R,8
K,0.2025,P,9
D,0.075,K,10
A,0.05,D,11
M,0.2025,R,12
GG,0.44,JJ,13
HH,0.44,KK,14
CC,0.39,HH,15
V,0.325,CC,16
T,0.29,V,17
Q,0.245,T,18
N,0.222,Q,19
L,0.2,Q,20
G,0.12,L,21
E,0.09,G,22
FF,0.415,HH,23
U,0.3,FF,24
O,0.2125,U,25
EE,0.41,LL,26
BB,0.39,EE,27
W,0.335,BB,28
J,0.175,W,29
I,0.17,J,30
H,0.15,I,31
F,0.09,J,32
B,0.05,F,33
C,0.05,F,34
Y,0.36,BB,35
X,0.335,Y,36
S,0.29,Y,37
1,,A,
2,,A,
3,,A,
4,,A,
5,,D,
6,,K,
7,,M,
8,,P,
9,,M,
10,,GG,
11,,II,
12,,Z,
13,,GG,
14,,DD,
15,,AA,
16,,B,
17,,B,
18,,B,
19,,B,
20,,C,
21,,H,
22,,F,
23,,H,
24,,I,
25,,X,
26,,S,
27,,EE,
28,,W,
29,,X,
30,,S,
31,,E,
32,,E,
33,,E,
34,,E,
35,,G,
36,,N,
37,,T,
38,,L,
39,,N,
40,,FF,
41,,O,
42,,CC,
43,,U,
44,,O,
45,,V,
